iteration,county_id,county_name,number_of_switches,old_district,new_district,dist1_pop,dist2_pop,dist3_pop,dist4_pop
1,45,Humboldt,1,4,3,133122,412348,394730,2250169
2,36,Greene,1,4,3,133122,412348,403501,2241398
3,93,Webster,1,4,3,133122,412348,440500,2204399
4,76,Polk,1,4,2,133122,904749,440500,1711998
5,94,Winnebago,1,4,3,133122,904749,451179,1701319
6,40,Hancock,1,4,3,133122,904749,461974,1690524
7,98,Wright,1,4,3,133122,904749,474917,1677581
8,7,Boone,1,4,3,133122,904749,501632,1650866
9,39,Hamilton,1,4,3,133122,904749,516671,1635827
10,97,Worth,1,4,3,133122,904749,524114,1628384
11,16,Cerro Gordo,1,4,3,133122,904749,567241,1585257
12,34,Franklin,1,4,3,133122,904749,577260,1575238
13,84,Story,1,4,3,133122,904749,675797,1476701
14,41,Hardin,1,4,3,133122,904749,692675,1459823
15,64,Mills,1,2,1,147606,890265,692675,1459823
16,65,Mitchell,1,4,3,147606,890265,703240,1449258
17,33,Floyd,1,4,3,147606,890265,718867,1433631
18,35,Fremont,1,2,1,154211,883660,718867,1433631
19,68,Montgomery,1,2,1,164541,873330,718867,1433631
20,11,Butler,1,4,3,164541,873330,733201,1419297
21,72,Page,1,2,1,179752,858119,733201,1419297
22,44,Howard,1,4,3,179752,858119,742670,1409828
23,1,Adams,1,2,1,183456,854415,742670,1409828
24,86,Taylor,1,2,1,189352,848519,742670,1409828
25,63,Marshall,1,4,3,189352,848519,782775,1369723
26,38,Guthrie,1,2,1,199975,837896,782775,1369723
27,0,Adair,1,2,1,207471,830400,782775,1369723
28,87,Union,1,2,1,219609,818262,782775,1369723
29,79,Ringgold,1,2,1,224272,813599,782775,1369723
30,24,Dallas,1,2,1,323950,713921,782775,1369723
31,49,Jasper,1,4,2,323950,751734,782775,1331910
32,88,Van Buren,1,4,2,323950,758937,782775,1324707
33,50,Jefferson,1,4,2,323950,774600,782775,1309044
34,53,Keokuk,1,4,2,323950,784633,782775,1299011
35,37,Grundy,1,4,3,323950,784633,795104,1286682
36,55,Lee,1,4,2,323950,818188,795104,1253127
37,60,Madison,1,2,1,340498,801640,795104,1253127
38,19,Clarke,1,2,1,350246,791892,795104,1253127
39,78,Poweshiek,1,4,2,350246,810554,795104,1234465
40,26,Decatur,1,2,1,357891,802909,795104,1234465
41,90,Warren,1,2,1,410294,750506,795104,1234465
42,43,Henry,1,4,2,410294,770988,795104,1213983
43,28,Des Moines,1,4,2,410294,809898,795104,1175073
44,92,Wayne,1,2,1,416791,803401,795104,1175073
45,58,Lucas,1,2,1,425425,794767,795104,1175073
46,91,Washington,1,4,2,425425,817332,795104,1152508
47,62,Marion,1,2,1,458839,783918,795104,1152508
48,57,Louisa,1,4,2,458839,794755,795104,1141671
49,47,Iowa,1,4,2,458839,811417,795104,1125009
50,3,Appanoose,1,2,1,471156,799100,795104,1125009
