iteration,county_id,county_name,number_of_switches,old_district,new_district,dist1_pop,dist2_pop,dist3_pop,dist4_pop
1,97,Worth,1,4,2,155205,71726,621963,2341475
2,98,Wright,1,4,2,155205,84669,621963,2328532
3,16,Cerro Gordo,1,4,2,155205,127796,621963,2285405
4,65,Mitchell,1,4,2,155205,138361,621963,2274840
5,34,Franklin,1,4,2,155205,148380,621963,2264821
6,33,Floyd,1,4,2,155205,164007,621963,2249194
7,30,Dubuque,1,4,1,254471,164007,621963,2149928
8,39,Hamilton,1,4,2,254471,179046,621963,2134889
9,11,Butler,1,4,2,254471,193380,621963,2120555
10,41,Hardin,1,4,2,254471,210258,621963,2103677
11,7,Boone,1,4,2,254471,236973,621963,2076962
12,37,Grundy,1,4,2,254471,249302,621963,2064633
13,84,Story,1,4,2,254471,347839,621963,1966096
14,6,Black Hawk,1,4,1,385615,347839,621963,1834952
15,24,Dallas,1,4,2,385615,447517,621963,1735274
16,48,Jackson,1,4,1,405100,447517,621963,1715789
17,52,Jones,1,4,1,425746,447517,621963,1695143
18,22,Clinton,1,4,1,472206,447517,621963,1648683
19,63,Marshall,1,4,2,472206,487622,621963,1608578
20,56,Linn,1,4,1,702505,487622,621963,1378279
21,76,Polk,1,4,2,702505,980023,621963,885878
22,24,Dallas,2,2,3,702505,880345,721641,885878
23,81,Scott,1,4,1,877174,880345,721641,711209
24,76,Polk,2,2,4,877174,387944,721641,1203610
25,76,Polk,3,4,2,877174,880345,721641,711209
26,76,Polk,4,2,4,877174,387944,721641,1203610
27,76,Polk,5,4,2,877174,880345,721641,711209
28,63,Marshall,2,2,4,877174,840240,721641,751314
29,81,Scott,2,1,4,702505,840240,721641,925983
30,81,Scott,3,4,1,877174,840240,721641,751314
31,81,Scott,4,1,4,702505,840240,721641,925983
32,81,Scott,5,4,1,877174,840240,721641,751314
33,56,Linn,2,1,4,646875,840240,721641,981613
34,56,Linn,3,4,1,877174,840240,721641,751314
35,56,Linn,4,1,4,646875,840240,721641,981613
36,56,Linn,5,4,1,877174,840240,721641,751314
37,6,Black Hawk,2,1,4,746030,840240,721641,882458
38,60,Madison,1,4,3,746030,840240,738189,865910
39,19,Clarke,1,4,3,746030,840240,747937,856162
40,6,Black Hawk,3,4,1,877174,840240,747937,725018
41,6,Black Hawk,4,1,4,746030,840240,747937,856162
42,6,Black Hawk,5,4,1,877174,840240,747937,725018
43,52,Jones,2,1,4,856528,840240,747937,745664
44,9,Buchanan,1,1,4,835963,840240,747937,766229
45,7,Boone,2,2,3,835963,813525,774652,766229
46,32,Fayette,1,1,4,816454,813525,774652,785738
47,73,Palo Alto,1,2,3,816454,804529,783648,785738
48,31,Emmet,1,2,3,816454,795141,793036,785738
49,44,Howard,1,1,2,806985,804610,793036,785738
